id,name,sex,position,Derzeitige NGO,Partei
vonMirbachHarff,Clemens Graf vonMirbachHarff,m,Vizepraesident,MI,0
vonBrandensteinZeppelin,Constantin vonBrandensteinZeppelin,m,Praesident,MI,0
SaurmaJeltsch,Douglas Graf vonSaurmaJeltsch,m,Vorstand,MI,0
vonFuerstenberg,Cornelius Freiherr vonFuerstenberg,m,Vorstand,MI,0
BauchW,Werner Bauch,m,Vorstand,PD,0
Berger,Axel Berger,m,Vorstand,PD,5
Daliri,Barbara Daliri,w,Vorstand,PD,0
Kloppenburg,Norbert Kloppenburg,m,Vorstand,PD,1
Klausnitzer,Rudi Klausnitzer,m,Vorstand,PD,0
Kramer,Maria Kramer,w,Vorstand,PD,0
Ritz,Dorothee Ritz,w,Vorstand,PD,0
Schweibert,Ulrike Schweibert,w,Vorstand,PD,0
Strehlau,Juergen Strehlau,m,Vorstand,PD,0
Taube,Guenther Taube,m,Vorstand,PD,0
Wirtz,Julia Wirtz,w,Vorstand,PD,0
Schleyer,HannsEberhard Schleyer,m,Kuratorium,PD,0
JahrStilcken,Angelika JahrStilcken,w,Kuratorium,PD,0
vonBassewitz,Christian vonBassewitz,m,Kuratorium,PD,0
AroldHahn,Antje AroldHahn,w,Kuratorium,PD,3
Doerner,Katja Doerner,w,Kuratorium,PD,4
Bernadotte,Bettina Bernadotte,w,Kuratorium,PD,0
Ellerbeck,Thomas Ellerbeck,m,Kuratorium,PD,0
Eick,Gabriele Eick,w,Kuratorium,PD,0
vonHardenberg,Tita vonHardenberg,w,Kuratorium,PD,0
Hess,MarcOliver Hess,m,Kuratorium,PD,0
Jergitsch,Friedrich Jergitsch,m,Kuratorium,PD,0
Hopfen,Jeannette Hopfen,w,Kuratorium,PD,0
Kracht,Marion Kracht,w,Kuratorium,PD,0
Kloeckner,Julia Kloeckner,w,Kuratorium,PD,1
Marjan,MarieLuise Marjan,w,Kuratorium,PD,0
Kretz,FranzJosef Kretz,m,Kuratorium,PD,0
Noelling,Philip Noelling,m,Kuratorium,PD,0
MayerBonde,Conny MayerBonde,w,Kuratorium,PD,1
Risser,Karin Risser,w,Kuratorium,PD,0
Schwesig,Manuela Schwesig,w,Kuratorium,PD,0
Schoenwaelder,Hans Schoenwaelder,m,Kuratorium,PD,0
Stewens,Christa Stewens,w,Kuratorium,PD,2
SeegersKarasek,Armgard SeegersKarasek,w,Kuratorium,PD,0
Wickert,Ulrich Wickert,m,Kuratorium,PD,0
Steffen,Wilfried Steffen,m,Kuratorium,PD,0
Veith,Christian Veith,m,Kuratorium,PD,0
Weskott,Wanja Weskott,m,Aufsichtsrat,VcA,0
Doever,Koray Doever,m,Aufsichtsrat,VcA,0
Rueckheim,Ronja Rueckheim,w,Aufsichtsrat,VcA,0
Jurga,Ina Jurga,w,Vorstand,WU,0
Narayanan,Ravi Narayanan,m,Vorstand,WIN,0
Mohr,Annemarie Mohr,w,Vorstand,WECF,0
Waffenschmidt,Christoph Waffenschmidt,m,Vorstand,WV,1
Hilligen,Christoph Hilligen,m,Vorstand,WV,0
Duerr,Harald Duerr,m,Praesidium,WV,0
GummervonMohl,Madeleine GummervonMohl,w,Praesidium,WV,0
Dahmen,Marcus Dahmen,m,Praesidium,WV,0
Kockskaemper,Maren Kockskaemper,w,Praesidium,WV,0
Massmann,Ariane Massmann,w,Praesidium,WV,0
Scheffels,Rolf Scheffels,m,Praesidium,WV,0
Schenck,Anna Schenck,w,Praesidium,WV,0
Vieth,Edgar Vieth,m,Praesidium,WV,0
Wacker,Carsten Wacker,m,Praesidium,WV,0
Winkeljohann,Norbert Winkeljohann,m,Praesidium,WV,0
Adlhoch,Judith Adlhoch,w,Kuratorium,WV,0
Baer,Dorothee Baer,w,Kuratorium,WV,2
Beer,Nicola Beer,w,Kuratorium,WV,5
Fraedrich,Jana Fraedrich,w,Kuratorium,WV,0
Fricke,Otto Fricke,m,Kuratorium,WV,5
Hajduk,Anja Hajduk,w,Kuratorium,WV,4
Kohl,Anja Kohl,w,Kuratorium,WV,0
Koschyk,Hartmut Koschyk,m,Kuratorium,WV,2
Nooke,Guenter Nooke,m,Kuratorium,WV,1
Nouripour,Omid Nouripour,m,Kuratorium,WV,4
Ploeger,Sven Ploeger,m,Kuratorium,WV,0
Rieck,Alfred Rieck,m,Kuratorium,WV,0
Ruethrich,Susanne Ruethrich,w,Kuratorium,WV,3
Schloendorff,Volker Schloendorff,m,Kuratorium,WV,0
Polte,Winfried Polte,m,Praesident,care,0
Lehners,JeanPaul Lehners,m,Vizepraesident,care,0
Sehrbrock,Ingrid Sehrbrock,w,Vizepraesident,care,1
Scharrenbroich,Heribert Scharrenbroich,m,Kuratorium,care,1
MatthaeusMaier,Ingrid MatthaeusMaier,w,Kuratorium,care,0
Schlachtenberger,Georg Schlachtenberger,m,Verwaltungsrat,care,0
Schadeck,Robert Schadeck,m,Verwaltungsrat,care,0
