id,name,sex,position,Derzeitige NGO,Andere NGO,Organisation,Politik,Medien/Rundfunk/Fernsehen
Eppelmann,Reiner Eppelmann,m,Kuratorium,care,,,CDU,
Fink,Ulf Fink,m,Kuratorium,care,,Gesundheitsstadt Berlin eV,,
Fischer,Hartwig Fischer,m,Kuratorium,care,,,CDU,
Funke,Rainer Funke,m,Kuratorium,care,,,FDP,
Hoffmann,Christiane Hoffmann,w,Kuratorium,care,,Lilith Project,,
Hornhues,KarlHeinz Hornhues,m,Kuratorium,care,,Deutschen Afrika Stiftung eV,,
Jamann,Wolfgang Jamann,m,Kuratorium,care,,International Civil Society Centre Berlin,,
Kiencke,Jens Kiencke,m,Kuratorium,care,,,,
Klose,HansUlrich Klose,m,Kuratorium,care,,,SPD,
Knoerig,Axel Knoerig,m,Kuratorium,care,,,CDU,
Kofler,Baerbel Kofler,w,Kuratorium,care,,,SPD,
Lehr,Ursula Lehr,w,Kuratorium,care,,,CDU,
Lenz,Marlene Lenz,w,Kuratorium,care,,,CDU,
DeMaiziere,Lothar de Maiziere,m,Kuratorium,care,,,CDU,
Molt,Peter Molt,m,Kuratorium,care,,,,
Muellerleile,Christoph Muellerleile,m,Kuratorium,care,,,,
Nachtwei,Winfried Nachtwei,m,Kuratorium,care,,,Buendnis 90 Die Gruenen,
Neuser,Heinz Neuser,m,Kuratorium,care,,,,
Pinger,Winfried Pinger,m,Kuratorium,care,,,CDU,
Prinz,Detlef Prinz,m,Kuratorium,care,,,,PrinzMedienHolding
Reimers,Stephan Reimers,m,Kuratorium,care,,,,
Reuter,Edzard Reuter,m,Kuratorium,care,,Helga und Edzard Reuter Stiftung,,
Roettgen,Norbert Roettgen,m,Kuratorium,care,,,CDU,
Schareck,Bernhard Schareck,m,Kuratorium,care,,,,
Schneider,Klaus Schneider,m,Kuratorium,care,,RautenstrauchJoest Museums,,
Schulte,Brigitte Schulte,w,Kuratorium,care,,,SPD,
Schwan,Gesine Schwan,w,Kuratorium,care,,HUMBOLDTVIADRINA Governance Platform gGmbH,SPD,
Teltschik,Horst Teltschik,m,Kuratorium,care,,Deutschen Nationalstiftung; Indien-Instituts; EugenBiserStiftung; Freunde der Hebraeischen Universitaet Jerusalem in Deutschland; KonradAdenauerStiftung; Sudetendeutschen Akademie der Wissenschaften und Kuenste; Foerderkreis der Stiftung Wirtschaft hilft Hungernden; Atlantischen Initiative,CDU,
Vaatz,Arnold Vaatz,m,Kuratorium,care,,,CDU,
Vassiliadis,Michael Vassiliadis,m,Kuratorium,care,,"IG Bergbau, Chemie, Energie IG BCE",,
Vogel,Bernhard Vogel,m,Kuratorium,care,,KonradAdenauerStiftung,CDU,
Weiler,Edgar Weiler,m,Kuratorium,care,,,,
WieczorekZeul,Heidemarie WieczorekZeul,w,Kuratorium,care,,,SPD,
Winkhaus,HansDietrich Winkhaus,m,Kuratorium,care,,Initiative Neue Soziale Marktwirtschaft und AtlantikBruecke,,
Bindig,Rudolf Bindig,m,Vorstand,help,,,SPD,
Hedrich,KlausJuergen Hedrich,m,Vorstand,help,,,CDU,
Kippels,Georg Kippels,m,Vorstand,help,,Institut für europaeische Partnerschaften und internationale Zusammenarbeit IPZ,CDU,
Woehrl,Dagmar Woehrl,w,Vorstand,help,Aktion Deutschland Hilft,Verein cnetz; CSUnet; Kunstbeirat des Deutschen Bundestages; Deutsche UNESCOKommission; Stiftung Denkmal fuer die ermordeten Juden Europas; Bundesstiftung Magnus Hirschfeld; EmanuelWoehrlStiftung,CSU,Deutschlandradio
Liebich,Stefan Liebich,m,Vorstand,help,,Deutschen Afrika-Stiftung; DeutschIsraelischen Gesellschaft; Deutsche Gesellschaft für Auswaertige Politik; Europaeische Akademie Berlin,Die Linke,
Mogaddedi,Obeidullah Mogaddedi,m,Vorstand,help,,,,
